experiment,owner,task,judge,status,started_at,finished_at,language,model,tooling,prompt,effort,agent,stack,replicate,code_quality,test_coverage,defect_rate,maintainability,idiomatic,token_efficiency,requirement_coverage,factual_accuracy,runtime,duration_seconds,tokens,cost_usd,turns,max_context_tokens,second_try,agent_steps
retort/experiment-15,retort,unknown,,completed,2026-06-13 22:05:16.750282,2026-06-13 22:05:16.750284,java,openrouter/tencent/hy3-preview,none,,,omp,,2,1.0,1.0,1.0,0.9601130068540856,,0.0015835864311767056,,,,790.1459229169996,5253897.0,0.134793372,,,,
retort/experiment-15,retort,unknown,,completed,2026-06-13 22:07:08.741621,2026-06-13 22:07:08.741623,typescript,openrouter/z-ai/glm-5.1,none,,,omp,,3,0.7333333333333334,0.9753000000000001,1.0,0.9079093059917014,,1.0,,,,108.70321241599959,495163.0,0.11833404799999997,,,,
retort/experiment-15,retort,unknown,,completed,2026-06-13 22:11:17.081136,2026-06-13 22:11:17.081138,java,openrouter/tencent/hy3-preview,none,,,omp,,3,1.0,1.0,1.0,0.9552904730628717,,0.011208031803564278,,,,242.88672899999983,968948.0,0.03216402,,,,
retort/experiment-15,retort,unknown,,completed,2026-06-14 01:54:28.968872,2026-06-14 01:54:28.968877,go,openrouter/qwen/qwen3.7-plus,none,,,omp,,1,1.0,0.381,1.0,0.8581889343334327,,0.007047850405626285,,,,255.2596679590024,933618.0,0.09673267200000002,,,,
retort/experiment-15,retort,unknown,,completed,2026-06-14 01:57:39.012524,2026-06-14 01:57:39.012528,typescript,openrouter/moonshotai/kimi-k2.7-code,none,,,omp,,2,0.7333333333333334,1.0,1.0,0.8845011698143043,,1.0,,,,310.54792429199733,1690848.0,0.40578013,,,,
retort/experiment-15,retort,unknown,,completed,2026-06-14 02:00:46.297676,2026-06-14 02:00:46.297679,typescript,openrouter/moonshotai/kimi-k2.7-code,none,,,omp,,1,0.7333333333333334,1.0,1.0,0.7979560584122948,,0.5,,,,454.3081658330011,2381362.0,0.45658262,,,,
retort/experiment-15,retort,unknown,,completed,2026-06-14 02:01:37.997984,2026-06-14 02:01:37.997989,go,openrouter/deepseek/deepseek-v3.2,none,,,omp,,1,1.0,0.649,1.0,0.7786312963014611,,0.004658409255354739,,,,297.8871072080001,2056496.0,0.20311180840000004,,,,
retort/experiment-15,retort,unknown,,completed,2026-06-14 02:03:10.304541,2026-06-14 02:03:10.304545,typescript,openrouter/minimax/minimax-m3,none,,,omp,,2,0.7333333333333334,0.8109000000000001,1.0,0.717250469026896,,1.0,,,,327.4632187499992,1615484.0,0.1363161,,,,
retort/experiment-15,retort,unknown,,completed,2026-06-14 02:05:28.908141,2026-06-14 02:05:28.908144,go,openrouter/minimax/minimax-m3,none,,,omp,,2,1.0,0.626,1.0,0.8289484930996758,,0.011923393357540966,,,,278.58117737499924,1293256.0,0.11598540000000003,,,,
retort/experiment-15,retort,unknown,,completed,2026-06-14 02:07:15.162311,2026-06-14 02:07:15.162314,typescript,openrouter/minimax/minimax-m3,none,,,omp,,1,0.7333333333333334,1.0,1.0,0.8406070766260209,,1.0,,,,385.82378000000244,1625824.0,0.15837102000000003,,,,
retort/experiment-15,retort,unknown,,completed,2026-06-14 02:07:36.186888,2026-06-14 02:07:36.186892,go,openrouter/minimax/minimax-m3,none,,,omp,,3,1.0,0.6829999999999999,1.0,0.8673999764724041,,0.010971693199821962,,,,264.4032303749991,1188513.0,0.11795976,,,,
retort/experiment-15,retort,unknown,,completed,2026-06-14 02:11:24.702152,2026-06-14 02:11:24.702156,go,openrouter/deepseek/deepseek-v3.2,none,,,omp,,2,1.0,0.251,1.0,0.6716694010853663,,0.004015813566375364,,,,354.061538209,2883600.0,0.2823767432,,,,
retort/experiment-15,retort,unknown,,completed,2026-06-14 02:11:30.853140,2026-06-14 02:11:30.853144,typescript,openrouter/moonshotai/kimi-k2.7-code,none,,,omp,,3,0.7333333333333334,1.0,1.0,0.8702133973887061,,1.0,,,,231.72526608300177,786919.0,0.19794555,,,,
retort/experiment-15,retort,unknown,,completed,2026-06-14 02:12:27.389775,2026-06-14 02:12:27.389780,go,openrouter/qwen/qwen3.7-plus,none,,,omp,,2,1.0,0.5710000000000001,1.0,0.9022448281675004,,0.011523705706640994,,,,310.55428912500065,706370.0,0.08912153599999999,,,,
retort/experiment-15,retort,unknown,,completed,2026-06-14 02:16:22.622464,2026-06-14 02:16:22.622470,typescript,openrouter/minimax/minimax-m3,none,,,omp,,3,0.7333333333333334,1.0,1.0,0.9132357663269652,,1.0,,,,288.617298125002,1226025.0,0.11334875999999998,,,,
retort/experiment-15,retort,unknown,,completed,2026-06-14 02:17:38.130584,2026-06-14 02:17:38.130590,go,openrouter/deepseek/deepseek-v3.2,none,,,omp,,3,1.0,0.568,1.0,0.913434743362394,,0.006020853714522065,,,,371.2974131660012,2727188.0,0.26831613360000006,,,,
retort/experiment-15,retort,unknown,,completed,2026-06-14 02:29:14.447390,2026-06-14 02:29:14.447394,go,openrouter/qwen/qwen3.7-plus,none,,,omp,,3,1.0,0.5589999999999999,1.0,0.8318853283401014,,0.00895724912016037,,,,262.82285204099753,975746.0,0.10747814400000001,,,,
retort/experiment-15,retort,unknown,,completed,2026-06-14 02:44:03.152791,2026-06-14 02:44:03.152795,go,openrouter/minimax/minimax-m3,none,,,omp,,1,1.0,0.688,1.0,0.8534003998127568,,0.012011615115198776,,,,254.9603982080007,1029004.0,0.0997002,,,,
retort/experiment-15,retort,unknown,,completed,2026-06-20 00:44:18.831374,2026-06-20 00:44:18.831382,python,openrouter/z-ai/glm-5.2,none,,,omp,,1,0.6222222222222222,0.98,0.8576512455516014,1.0,,0.01196246833294459,,,,129.34163300000364,433021.0,0.123829,,,,
retort/experiment-15,retort,unknown,,completed,2026-06-20 00:48:09.564360,2026-06-20 00:48:09.564371,go,openrouter/z-ai/glm-5.2,none,,,omp,,2,1.0,0.691,1.0,0.8772914279459959,,0.010101170114327727,,,,361.1386327499931,1073143.0,0.31400790000000006,,,,
retort/experiment-15,retort,unknown,,completed,2026-06-20 00:48:13.413060,2026-06-20 00:48:13.413062,java,openrouter/z-ai/glm-5.2,none,,,omp,,1,1.0,1.0,1.0,0.9512983383050244,,0.010685324511841683,,,,222.98948883300181,546544.0,0.14418560000000002,,,,
retort/experiment-15,retort,unknown,,completed,2026-06-20 00:49:35.414605,2026-06-20 00:49:35.414613,python,openrouter/z-ai/glm-5.2,none,,,omp,,2,0.6666666666666666,0.99,1.0,0.8694777911217884,,0.0031769391592791152,,,,444.12806775000354,1284255.0,0.35973970000000005,,,,
retort/experiment-15,retort,unknown,,completed,2026-06-20 00:51:09.963307,2026-06-20 00:51:09.963315,rust,openrouter/z-ai/glm-5.2,none,,,omp,,1,0.8333333333333334,1.0,1.0,0.9129488539371522,,0.044111680499572224,,,,540.7756805419922,1814032.0,0.494875,,,,
retort/experiment-15,retort,unknown,,completed,2026-06-20 00:55:23.534160,2026-06-20 00:55:23.534166,java,openrouter/z-ai/glm-5.2,none,,,omp,,3,1.0,1.0,1.0,0.9507982302200663,,0.019525441044762327,,,,340.3777969579969,595121.0,0.1914631,,,,
retort/experiment-15,retort,unknown,,completed,2026-06-20 00:55:24.130239,2026-06-20 00:55:24.130248,typescript,openrouter/z-ai/glm-5.2,none,,,omp,,2,0.7333333333333334,0.9697,1.0,0.8998339249056068,,1.0,,,,431.2665569999954,2204683.0,0.6262846,,,,
retort/experiment-15,retort,unknown,,completed,2026-06-20 00:56:43.148916,2026-06-20 00:56:43.148922,python,openrouter/z-ai/glm-5.2,none,,,omp,,3,0.7722222222222221,0.98,0.9352750809061489,0.9935897435897436,,0.0030838630674758245,,,,326.47754391700437,1776992.0,0.48624630000000013,,,,
retort/experiment-15,retort,unknown,,completed,2026-06-20 00:59:07.387361,2026-06-20 00:59:07.387364,rust,openrouter/z-ai/glm-5.2,none,,,omp,,2,0.8333333333333334,1.0,1.0,0.8932817124472022,,0.06661022248288989,,,,537.6629081669962,2190955.0,0.542458,,,,
retort/experiment-15,retort,unknown,,completed,2026-06-20 01:01:04.011303,2026-06-20 01:01:04.011311,java,openrouter/z-ai/glm-5.2,none,,,omp,,2,1.0,1.0,1.0,0.9625216111655046,,0.004606156484570404,,,,333.6217632080079,1458917.0,0.3830197999999999,,,,
